"ID","NAME","SCIENTIFIC_NAME","LIGHT","WATER","FERTILIZER","TEMPERATURE","HUMIDITY","FLOWERING","PESTS","DISEASES","SOIL","POT_SIZE","PRUNING","PROPAGATION","POISONOUS_PLANT_INFO"
"41","African Violet","SAINTPAULIA IONANTHA","African Violet plants do best and flower more in bright indirect light , close to an east-facing window is ideal. When the light is too low, the leaves turn dark green, lose their plump appearance, and the plant produces very few flowers. The leaves turn a pale yellow-green and the flowers fade quickly when there is too much light.","Allow the top 1""- 2"" of soil to dry out before watering. Avoid using water that has passed through a softener or water containing chlorine or fluorine. Always water African Violet houseplants from the bottom to prevent water getting on the leaves. Remove any excess water that is still in the saucer after 15 minutes.","Special fertilizer for African Violet plants is available wherever plants are sold. In a pinch, you can use any balanced, soluble, houseplant food diluted to 1/2 the recommended strength. Feed African Violets monthly when the plant is actively growing. Over-fertilizing causes leaf tip burn, poor flower production, leaf cracks, and may even kill an African Violet plant.","These plants do well in temperatures of 75 degrees- 80 degrees Fahrenheit (23.9 degrees- 26.7 degrees Celsius) during the day and about 10 degrees cooler at night. Keep African Violet plants away from cold drafts and heating vents.","High humidity is preferable, but African Violets easily adapt to basic household humidity.","Quickly remove dead flowers and stems to encourage more flowers. Keeping the soil of African Violet houseplants on the dry side helps the plant bloom more often.","African Violets are bothered by spider mites and Mealy Bugs . Use a Qtip dipped in alcohol or Neem Oil to treat these insects as soon as they appear. Since the leaves of African Violet plants are easily damaged, only use commercial insecticides that are recommended for African Violets.","African Violets are susceptible to botrytis , powdery mildew , and erwinia blight. Preventing plants from getting diseases is much easier than treating diseases once they appear. Provide good air circulation and never get water on the leaves.","African Violets like a rich, airy, potting soil. Special African Violet soil is available at most garden centers. These plants should be re-potted every 6-12 months using fresh soil. This prevents unwanted salts from fertilizer s building up in the soil and burning the roots and leaves.","Keeping African Violets a little root-bound in a small pot encourages the plant to produce more flowers.","Remove 2-4 leaves from the bottom of an African Violet plant each month to encourage new leaf development at the top of the plant. Quickly and carefully remove any dead flowers and their stalks as soon as they appear.","African Violets are easily propagated by leaf cuttings during the spring. You'll need a little patience. It may take up to three months for new leaves to develop. You can read more about propagation using leaf cuttings in the Glossary of the website.","African Violets are non- Poisonous Houseplants ."
"42","Agave Plant","AGAVE ATTENUATA","Agave plants require very bright light throughout the year. You may have to move your agave to different locations around your home or office as the seasons change to maintain these high light areas. Agave plants love going outside in the warm weather.","During the fall and winter, when agave plants are resting, allow the top 75% of the soil to dry out before watering. In the spring & summer, when the plant is actively growing, water when the top 2""-3” of soil has dried out. Be careful not to over- water since succulent agave plants like to be kept on the dry side.","Feed monthly in spring & summer when an agave is actively growing with a balanced plant food diluted to 1/2 the recommended strength. Never fertilize in the fall and winter.","Agave plants like warm temperatures between 70 degrees- 80 degrees Fahrenheit (21.1 degrees- 26.7 degrees Celsius) in the spring and summer and cooler temperatures between 50 degrees- 60 degrees Fahrenheit (10 degrees- 15.6 degrees Celsius) in the fall and winter when resting. The leaves of an agave plant have a waxy coating over a powdery surface that seals them; this protects the plant against evaporation and reflects up to 75% of the incoming heat.","Agave plants, like all succulents, require very little humidity. High humidity can cause crown, stem, and root rot disease.","Outdoors, as an agave plant matures and stores up energy, it produces tall flower spikes. Indoors, an agave plant rarely flowers.","The agave plant snout weevil is the main plant pest problem to watch out for. The snout weevil chews on the leaves, lays eggs, and the babies (grubs) cause bacterial rot. Spider mites can also be a problem.","Erwinia and fungus fusarium cause the plant disease crown, stem, and root rot.","Use a quick draining succulent or cactus soil for agave plants.","Do not rush to re-pot an agave plant. They are slow growers and do not like to have their roots disturbed. When you do put your agave plant in a new container, don't plant it too deeply or it may develop stem rot. Be sure there are drip holes in the bottom of the container.","Agave plants rarely need pruning.","Outside, agave plants, are propagated using offsets. After you remove the offsets from the ""mother"" plant, allow them to sit out for a few days before planting them. This allows the offset roots to dry out and prevents root rot from killing the new plants. Avoid planting the offsets too deep, this prevents stem rot. Indoor agave plants rarely produce offsets so this advice is primarily for outdoor agave plants. Indoor agave plants rarely produce offsets so are not easily propagated.","Agave plants are poisonous plants with a #2 toxicity level. The sap of an is extremely irritating and contains an anti- coagulant that causes cuts, made by the spines or sharp tips of the agave plant, to bleed more than usual."
"43","Alocasia","ALOCASIA AMAZONICA","An Alocasia plant requires very bright indirect light but no direct sun.","Allow the top 2""- 3"" of soil to dry out before watering. Try to keep the soil evenly moist. Over-watering, wet leaves, and soggy soil makes an alocasia plant susceptible to a variety of serious fungal infections. Check the soil frequently until you are sure of the plant's watering needs. Alocasia plants require less water during the winter when it's dormant.","Fertilize every two weeks from late March through September with a basic houseplant food diluted to 1/2 the recommended strength. Never fertilize during the winter. Too much plant food results in salts building up in the soil and burning the leaves.","Alocasia plants prefer warm temperatures between 60 degrees- 80 degrees Fahrenheit (15.6 degrees- 26.7 degrees Celsius). These plants become dormant with prolonged exposure to temperatures below 60 degrees Fahrenheit (15.6 degrees Celsius) and may drop all of their leaves. Be sure to keep an Alocasia plant away from air conditioners and cold drafts. During warm summer months, an Alocasia can produce a new leaf every week and each new leaf may be twice the size of the previous leaf.","Alocasia plants grow best in high humidity. To increase the humidity, place the plant on a tray filled with pebbles and water. Be sure the plant is sitting on the pebbles and not in the water. You can also increase the humidity by placing a small humidifier near the plant or grouping plants together. Do not mist the plant; misting encourages plant diseases.","The flowers of an alocasia plant are very small and inconsequential in comparison to the beautiful leaves.","Spraying an alocasia with warm soapy water every few weeks helps prevent Mealy Bugs , scale , Aphids , and spider mite problems. It also keeps the large leaves of the plant dust-free. If an Alocasia does become infested, spray with an ultra fine commercial insecticidal oil or Neem Oil . This kills both the pests and their eggs.","When alocasia plants are over-watered or when the leaves are consistently wet, they develop a variety of diseases such as crown, stem, and root rot , leaf spot, and xanthamonas. These diseases usually appear as dark brown or black spots on the leaves, surrounded by a yellowish rim. The best way to prevent plant diseases is to avoid over-watering, keep the leaves dry, and provide good air circulation around the plant. Once an alocasia is infected, quickly remove the damaged leaves and any leaves that have fallen off, isolate the plant from your other plants, and treat with a commercial Fungicide .","Use an organic well-aerated loose soil that contains a good amount of peat moss. If the soil seems a little heavy, add some builder's sand or perlite.","Alocasias plants like to be root-bound in small pots, so don't rush to put them into larger pots.","Quickly remove any yellow leaves or those that develop brown or black spots as that may be a sign of a fungal disease.","plant division is the best way to propagate.","This is a very poisonous plant with a #4 toxicity level . Kept an alocasia plant far away from small children and pets."
"44","Alocasia - Jewel Alocasia","ALOCASIA NEBULA IMPERIALIS","An alocasia plant requires very bright indirect light . Direct sun burns the leaves.","Always allow the top 2""- 3"" of the soil to dry out before watering. Keep the soil evenly moist. Over- watering, wet leaves, and soggy soil makes an alocasia plant susceptible to a variety of serious fungal infections. Check the soil frequently until you are sure of the plant's watering needs. Water less during the winter when it is dormant.","Fertilize every two weeks from late March through September with a balanced houseplant food diluted to 1/2 the recommended strength. Never fertilize an alocasia during the winter. Too much fertilizer causes salts to build up in the soil and burn the leaves.","Alocasia plants prefer warm temperatures between 60 degrees- 80 degrees Fahrenheit (15.6 degrees- 26.7 degrees Celsius). Alocasia plants becomes dormant with prolonged exposure to temperatures below 60 degrees Fahrenheit (15.6 degrees Celsius), and may drop all of their leaves. Be sure to keep an alocasia away from air conditioners and cold drafts. During warm summer months an alocasia plant can produce a new leaf every week and each new leaf may be twice the size of the previous leaf.","Alocasia plants grow best in high humidity. To increase the humidity around a houseplant, place the plant on a tray filled with pebbles and water. Be sure the plant is sitting on the pebbles and not in the water. You can also increase the humidity by placing a small humidifier near the plant or grouping plants together.","An alocasia macrorrhiza produces a cream colored spathe-like flower (really a modified leaf).","Spraying an alocasia with warm soapy water every few weeks helps prevent Mealy Bugs , scale , Aphids , and spider mite problems. It also keeps the large leaves of the plant dust-free. If an alocasia plant does become infested with houseplant pests, spray with an ultra fine commercial insecticidal oil. This kills both the pests and their eggs.","When over- watered or when the leaves get wet, Aloasia plants may develop a variety of diseases such as crown, stem, and root rot , Leaf Spot, and Xanthamonas. These diseases usually appear as dark brown or black spots on the leaves surrounded by a yellowish rim. The best way to prevent plant diseases is to avoid over-watering, keep the leaves dry, and provide good air circulation around the plant. Once an alocasia is infected, quickly remove the damaged leaves and any leaves that have fallen off, isolate the plant from your other plants, and treat with a commercial Fungicide .","Use an organic well-aerated loose plant soil that contains a good amount of peat moss. If the soil seems a little heavy, add some builder's sand or perlite.","Alocasia plants prefer to be root-bound in small pots. Do not increase the size of the container until the roots have filled the existing pot and always move to the next size pot only.","Quickly remove any yellow leaves or those that develop brown or black spots as that may be a sign of a fungal disease.","Alocasia plants are propagated by plant division . You can read more about propagation techniques in the Glossary.","Alocasia plants are very Poisonous Houseplants with a #4 toxicity level ."
"45","Aloe Vera Plant","ALOE VERA","An Aloe Vera plant requires very bright indirect light","Water well and then allow the soil to thoroughly dry out before watering again. It can sometimes last 2-3 weeks before it needs water and requires even less moisture in the winter. An Aloe Vera Plant can be saved from severe under-watering, but rarely survives over-watering.","Aloe Vera plants prefer a different fertilizer than most houseplants. Feed monthly with a 10/40/10 plant food diluted to 1/2 the recommended strength.","These plants likes dry, warm temperatures between 65 degrees- 85 degrees Fahrenhet (18 degrees- 29 degrees Celsius). Aloe Vera plants do not do well in temperatures below 40 degrees Fahrenheit (4.5 degrees Celsius)","Native to the deserts and need very little humidity.","","There are very few plant pests that bother an Aloe Vera.","Root-rot, caused by over watering, is the main problem.","Grows in almost any type of soil, but a quick draining well-aerated soil with some sand in it is best. A commercial cactus potting soil works well.","Keep in a small pot with drip holes in the bottom; this allows the soil to quickly dry- out and prevents root-rot.","Aloe Vera plants rarely need to be pruned.","Propagate using offsets or suckers.","Although the sap of an Aloe Vera plant is highly recommended for treating burns, other parts of the plant are poisonous . This plant has a #1 toxicity level ."
"46","Amaryllis","HIPPEASTRUM","Amaryllis plants need bright indirect light . Southern exposure is best, eastern and western exposures are adequate, northern exposure requires additional artificial light.","Water sparingly until the stem starts to grow out of the bulb. As the stem, leaves, and buds develop gradually increase your water. Keeping the soil moist helps prolong the Amaryllis flowers.","Fertilize an Amaryllis plant monthly with a fertilizer high in potassium and phosphorus and low in nitrogen (5-10-10) or (6-12-12). Always dilute the plant food to 1/2 the recommended strength.","An Amaryllis is a tropical plant and enjoys temperatures between 68 degrees- 70 degrees Fahrenheit. Once an Amaryllis plant blooms, move it to a cooler area (65 degrees Fahrenheit). This helps the flowers last longer.","Basic household humidity or even less keeps an Amaryllis plant healthy and free of diseases.","Plant Amaryllis bulbs any time from late fall to mid-spring using a good commercial potting soil. The bigger and fatter the Amaryllis bulbs, the larger the flowers will be. Be sure to soak the base and roots of Amaryllis bulbs in water for a few hours before planting them. It usually takes 7-10 weeks for the bulbs to bloom. It takes longer when bulbs are planted in the winter than when they are planted in the spring","thrip and spider mite infestations can be treated with the green solution (recipe in Glossary) or a commercial systemic insecticide approved for flowering plants.","Amaryllis plants develop blotchy leaves from various fungal and bacterial diseases. There is no good remedy for these plant infections. Isolate your plant to prevent diseases from spreading to other plants. Good air circulation and dry leaves help prevent diseases.","Plant an Amaryllis bulb in a good commercial bulb soil. If this is not available, use a quick-draining, nutritious, well-aerated potting mixture. When using a basic potting soil for your Amaryllis bulbs, add some sand and humus to prevent the soil from becoming too heavy when wet.","Amaryllis plants like to be root-bound in small pots.","Prune any diseased leaves so that bacterial or fungal infections do not spread to other parts of the plant.","Propagate your Amaryllis plant using offsets, or ""pups"" as they are sometimes called. Another way to propagate is to cut the Amaryllis bulb into four sections and plant each section in a 5"" pot.","Amaryllis are very poisonous bulb plants with a #3 Toxicity level. All parts of an Amaryllis contain phenanthridine alkaloids that can cause vomiting, very low blood pressure, and breathing problems. The bulbs of an Amaryllis contain oxalates that can cause excessive salivation and abdominal pain."
"47","Angel Wing Begonia","BEGONIA COCCINEA","Angel wing begonias like bright indirect light but no direct sun. Proper light helps the leaves and flowers develop a more intense color. Insufficient light causes the plant to become leggy and prevents flowering. When light is too intense, the edges of the leaves curl and turn brown.","Be careful not to over-water! If the plant is in a small pot, allow the top 1"" of soil to dry out before watering. In a larger pot, allow the top 2""-3"" of soil to dry out. Angel wing begonia containers must have drip holes in the bottom for proper drainage and the plant should never sit in water. When over-watered, the leaves turn yellow and fall off.","Feed monthly in the spring and summer when ian angel wing begonia is actively growing with a liquid plant food high in potassium. Fertilize every other month during the rest of the year. To prevent leaf burn, feed begonias when the soil is damp and always dilute the food to 1/2 the recommended strength.","Angel wing begonias do well when the temperature is 65 degrees- 75 degrees Fahrenheit (18.3 degrees- 23.9 degrees Celsius). Temperatures below 50 degrees Fahrenheit (10.0 degrees Celsius) damage leaves and flowers.","Average household humidity is sufficient, Never mist a begonia plant; wet leaves encourage powdery mildew and Leaf Spot Disease s.","bright indirect light and a fertilizer high in potassium help an Angel wing begonia produce more flowers. Remove dead or fading flowers as soon as they appear.","Mealy Bugs are the main pest that infects this plant. Do not use toxic pesticides on a begonia, they will damage the leaves. I recommend using the ""green solution "" or a commercial insecticidal soap .","Yellow halos on the leaves are a sign of Leaf Spot Disease , a plant bacteria that occurs when plant leaves stay wet or the soil is too soggy. As with all fungal and bacterial diseases, better air circulation, well-drained soil, dry leaves, and less water help control Leaf Spot Disease . Never mist a plant if Leaf Spot Disease is suspected. You can use a commercial Fungicide or the or the homemade remedy of putting a tablespoon or two of baking soda and a teaspoon or two of mineral oil in a spray bottle of water. Shake the solution well and then spray all areas of the plant.","Angel Wing begonias like a rich soil that's a little heavier than the soil used for other begonia plants. A heavy soil helps support the large root system and tall stems. I often use an African Violet mix.","Angel wing begonias like to be a little root-bound. Use a container with drip holes in the bottom that is an inch or two larger than the root ball. Select a heavy clay or ceramic pot that can support the plant as it gets taller.","Prune the older growth yearly during the winter or early spring. This prevents the plant from becoming leggy. New canes (stems) should be left alone. This is also a good time to re-pot your begonia if it has out-grown its existing container. Throughout the year, pinch off dead flowers as soon as they appear.","Stem Cuttings are the easiest way to propagate an angel wing begonia. Cut a 3""-5"" section from a non-flowering stem. The piece should have two to four nodes on it. Dip the cut end of the stem into a small amount of Rooting Hormone and plant it in a small container of perlite or sand. Plant about 3 stems per pot to have a bushy plant.","Angel Wing begonia plants have a #1 toxicity level due to the insoluble oxalates in the plant."
"48","Anthurium","ANTHURIUM","Anthurium plants like as much bright indirect light as possible, but no direct sun. If there is insufficient light, an anthurium plant produces fewer flowers and becomes thin and straggly as the leaves stretch toward the light.","Water well and then allow the top two or three inches of soil to dry out before watering again. Over-watering causes yellow leaf tips and under- watering causes brown leaf tips.","Use a balanced fertilizer or one a little high in nitrogen for anthurium plants. Feed monthly in the spring and summer, when anthurium plants are actively growing. Dilute the plant food to 1/3 - 1/4 the recommended strength.","Anthurium plants prefer temperatures 75 degrees Fahrenheit- 85 degrees Fahrenheit(23.9 degrees Celsius- 29.4 degrees Celsius) during the day and about 10 degrees cooler at night. Temperatures below 50 degrees Fahrenheit (10 degrees Celsius) slow the growth of leaves and flowers.","The higher the humidity, the happier an anthurium plant.","Quickly remove fading or dying flower spathes as soon as they appear.","Anthurium plants are susceptible to Mealy Bugs , scale , Aphids , and thrip . The new tender growth is especially vulnerable. Examine your plants carefully every time you water. Spray with the "" green solution "" (recipe in Glossary) if you notice plant pests.","Fungal and bacterial plant diseases are a problem because of the high humidity and warmth anthuriums require. Keep the leaves dry and provide good air circulation to prevent plant diseases.","Use a rich, organic, loose potting soil that contains some mulch and sphagnum moss. The soil needs to drain quickly to prevent root-rot.","Anthurium plants are found in 4,"" 6,"" and 8"" containers. These plants like to be root-bound, don't rush to put them into a larger pot.","Prune faded or dead flowers and leaves as soon as they appear.","Propagate using Stem Cuttings and offsets.","Anthuriums are very poisonous plants with a #3 toxicity level. Please keep them away from small children and pets."
"49","Aralia Plant","POLYSCIAS FRUTICOSA","Aralia plants can survive in low light conditions, but grow faster and produce more leaves in medium to bright indirect light .","Too much water, resulting in root rot, is the main reason aralia plants die. Allow the top 50% of the soil to dry out before watering. In low light conditions, an aralia may need water as little as every 2-3 weeks.","An Aralia plant requires very little fertilizer . Feed every other month when your aralia is actively growing with a plant food high in nitrogen diluted to 1/2 the recommended strength.","Aralia plants prefer temperatures between 60 degrees- 85 degrees Fahrenheit (15.6 degrees- 29.4 degrees Celsius).","High humidity helps aralia plants grow better. Dry air, due to low humidity, is one of the reasons aralia plants lose leaves.","Although an aralia plant doesn't flower indoors, they can be trained to be a lovely bonsai plant.","Aralia plants are more pest resistant than many other indoor plants, but can still get Aphids , scale , Mealy Bugs , and spider mites. Spray an aralia frequently with a biodegradable soapy water solution to prevent problems.","Aside from root-rot caused by over-watering, aralia plants are fairly resistant to most houseplant diseases.","Aralias need a peat-based, well-aerated, light soil. This type of quick draining potting medium prevents water from accumulating in the soil and causing root-rot.","For such a large plant, aralia plants do much better when root-bound. Being in smaller pots also helps the soil dry out faster and prevents over- watering.","Trimming the tips of an aralia plant helps promote new growth.","Aralia plants are propagated by Stem Cuttings or, if the stems are thick enough, air layering . Propagating aralia plants is more successful when temperatures are above 70 degrees Fahrenheit (21.1 degrees Celsius)","Aralias are poisonous plants with a #2 toxicity level . All parts of the plant contain saponins which cause gastrointestinal irritation, nausea, vomiting and diarrhea."
"50","Aralia Plant - Balfour","POLYSCIAS-SCUTELLARIA","Balfour Aralia plants do best in bright indirect light ; but will survive in low light if you are careful not to over-water.","Aralias have very fine roots and are easily over-watered. Always allow the top 1/2 of the soil in the pot to dry out before watering. During the winter when plants are resting, they need even less water. In low light situations, Aralias may need water only once a month.","Feed an Aralia plant every other month with a plant food high in nitrogen. Always dilute the fertilizer to 1/2 the recommended strength.","Balfour Aralias like basic household temperatures between 65-80 degrees Fahrenheit.","High humidity helps Aralia plants grow better. Dry air, due to low humidity, is one of the reasons Aralias drop leaves.","Although Aralia plants don't produce flowers indoors, they can be trained to be a lovely bonsai plant.","Aralia plants attract numerous houseplant pests such as mealybugs, scale , spider mites, and Aphids . Spraying the plant with a biodegradable soap and water mixture on a regular basis helps prevent plant pest infestations.","Root-rot, caused by over-watering, is the main plant disease affecting Aralia plants.","Aralias need a peat-based, well-aerated, light soil. This type of quick draining potting medium prevents water from accumulating in the soil and causing the roots to disintegrate.","Keep Aralia plants in small pots so the soil dries out quickly.","Prune the tips of an Aralia to keep the plant full.","Aralia Plants are propagated by Stem Cuttings or, if the stems are thick enough, air layering . Propagating Aralias is more successful when temperatures are above 70 degrees Fahrenheit.","Aralia plants are Poisonous Houseplants with a level #2 toxicity. All parts contain saponins which cause gastrointestinal irritation, nausea, vomiting and diarrhea."
